serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
207,85,42,311,3,1,0,0,0,213,0,58,1,0,2,0,0,1,0,0,0,717,0,5,722,0,Panchayat  Union Primary School  North Building Chithankudiruppu Thenpattu,"1.Ward 2 Perumal  Kovil  Street
2.Ward 3 Sidhan Kudiyiruppu West  Street,
3.Ward 3 Sidhan Kudiyiruppu Puthumanai  Street,
4.Ward 3 Mispa Nagar
5.Karikka Thoppu (E)  Door  Numbers 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School  North Building Chithankudiruppu Thenpattu,Panchayat  Union Primary School  North Building Chithankudiruppu Thenpattu,dravida munnetra kazhagam,311,213,98,tamilaga vettri kazhagam,3,4,1,5,7,10,2,7,10,6,10,10,7,10,10,10,13.66806136680614,4
208,76,18,401,1,0,1,0,0,159,0,0,0,0,1,0,0,1,0,2,0,660,0,3,663,0,"Tamil  Nadu Industrial  Training Institute,East  Side  Room   No 17 Near  Princepal  Room Pettai,Tirunelvelli.","1.Ward 19 Veerabhagu Nagar
2.Ward 19 Raghumaniya Pallivasal  1st  North Street 999.OVERSEAS ELECTORS",General,"Tamil  Nadu Industrial  Training Institute,East  Side  Room   No 17 Near  Princepal  Room Pettai",Tirunelvelli.,dravida munnetra kazhagam,401,159,242,tamilaga vettri kazhagam,3,4,1,6,9,9,2,9,9,6,9,9,6,9,5,9,36.66666666666666,4
209,20,20,409,2,1,0,0,2,159,0,0,1,0,1,0,1,0,0,1,1,618,0,3,621,0,"Tamil  Nadu Industrial  Training Institute,East  Side  Room   No 16 Near  Princepal  Room Pettai,Tirunelvelli.","1.Ward 19 Raghumaniya Pallivasal  2nd North Street
2.Ward 19 Raghumaniya Pallivasal  3rd North Street
3.Ward 19 Raghumaniya Pallivasal  4th North Street 999.OVERSEAS ELECTORS",General,"Tamil  Nadu Industrial  Training Institute,East  Side  Room   No 16 Near  Princepal  Room Pettai",Tirunelvelli.,dravida munnetra kazhagam,409,159,250,tamilaga vettri kazhagam,3,3,1,5,7,5,2,7,13,7,13,7,13,13,7,7,40.45307443365696,5
210,59,14,135,0,0,0,0,0,126,0,2,0,0,0,1,1,0,0,0,0,338,0,2,340,0,"Tamil  Nadu Industrial  Training Institute,West  Side   Room no 23 Pettai,Tirunelvelli.","1.Industrial  Colony
2.Ward 19 Teachers Colony Pettai
3.Ward 19Thiruvallurvar  Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",General,"Tamil  Nadu Industrial  Training Institute,West  Side   Room no 23 Pettai",Tirunelvelli.,dravida munnetra kazhagam,135,126,9,tamilaga vettri kazhagam,3,4,1,7,7,7,2,7,7,7,5,5,7,7,7,7,2.662721893491125,2
211,101,47,228,1,1,1,0,1,308,0,1,0,0,0,2,0,1,0,0,0,692,0,0,692,0,"Corporation Middle  School,  West  Portion,  South Side, Rahumanpettai,  Pettai","1.Ward 18 Cheranmahadevi  Road
2.Ward 18 Sathya Nagar
3.Ward 18 Cheranmahadevi  Road North Line  Viswanatha Nagar 999.  OVERSEAS ELECTORS",General,"Corporation Middle  School,  West  Portion,  South Side, Rahumanpettai",Pettai,tamilaga vettri kazhagam,308,228,80,dravida munnetra kazhagam,3,4,2,6,6,6,1,10,10,10,5,10,6,10,10,10,11.5606936416185,3
212,70,19,89,0,0,0,1,6,322,0,1,1,1,0,1,1,0,1,0,1,514,0,0,514,0,"Corporation Middle  School,  East  Portion,  North Side, Rahumanpettai,  Pettai","1.Ward 18 Narikuravar  Colony
2.Ward 18 Cheranmahadevi  Road North Extention Suthamali
3.Ward 18 Cheranmahadevi  Road North Line  Nehruji  Nagar. 999.OVERSEAS ELECTORS",General,"Corporation Middle  School,  East  Portion,  North Side, Rahumanpettai",Pettai,tamilaga vettri kazhagam,322,89,233,dravida munnetra kazhagam,3,4,2,12,12,5,1,6,6,12,6,6,12,6,12,6,45.3307392996109,6
213,16,25,357,0,0,0,0,0,93,0,0,0,0,0,0,0,0,1,1,0,493,0,0,493,0,"Corporation Middle  School,  West  Portion    North Side, Rahumanpettai,  Pettai.",1.Ward 18 Rahumania Pallivasal  West  Street 999.OVERSEAS ELECTORS,General,"Corporation Middle  School,  West  Portion    North Side, Rahumanpettai",Pettai.,dravida munnetra kazhagam,357,93,264,tamilaga vettri kazhagam,4,3,1,7,7,7,2,7,7,7,7,7,7,5,5,7,53.54969574036511,2
214,86,17,128,0,1,0,2,1,180,0,4,0,1,1,0,1,0,0,0,0,422,0,6,428,0,"Integrated Children's Centre  Municiple  Office  Campus Centre  Number  336281900317 Rahumanpettai,  Pettai.",1.Ward 18 Cheranmahadevi  Road South Extention (MGR Nagar) 999.OVERSEAS ELECTORS,General,Integrated Children's Centre  Municiple  Office  Campus Centre  Number  336281900317 Rahumanpettai,Pettai.,tamilaga vettri kazhagam,180,128,52,dravida munnetra kazhagam,3,4,2,10,5,5,1,10,5,5,10,5,10,10,10,10,12.32227488151659,3
215,35,15,314,1,0,1,1,1,136,0,2,0,0,1,0,1,0,0,0,0,508,0,4,512,0,"Corporation Middle  School,  East  Portion   South Side, Rahumanpettai,  Pettai.","1.Ward 18 Rajiv Gandhi  Nagar
2.Ward 19 Teachers Colony (P.T.Nagar). 999.OVERSEAS ELECTORS",General,"Corporation Middle  School,  East  Portion   South Side, Rahumanpettai",Pettai.,dravida munnetra kazhagam,314,136,178,tamilaga vettri kazhagam,3,4,1,5,9,5,2,9,9,5,9,5,9,9,9,9,35.03937007874016,2
216,57,21,147,0,0,0,0,0,151,0,0,0,0,0,1,0,0,0,1,0,378,0,5,383,0,Kamaraj  Municipal  Higher  Secondary School  New Building West  Side  South Portion   Pettai,"1.Ward 18 Lalbhadursasthri  Nagar                9
99.OVERSEAS ELECTORS",General,Kamaraj  Municipal  Higher  Secondary School  New Building West  Side  South Portion   Pettai,Kamaraj  Municipal  Higher  Secondary School  New Building West  Side  South Portion   Pettai,tamilaga vettri kazhagam,151,147,4,dravida munnetra kazhagam,3,4,2,7,7,7,1,7,7,7,5,7,7,7,5,7,1.058201058201058,2
217,10,14,552,3,0,1,0,0,119,0,0,0,0,0,0,0,0,0,1,1,701,0,6,707,0,"Corporation Middle  School  South Portion South Side  ,  Pettai.","1.Ward 20 Katharavulya Pallivasal  1st  Street
2.Ward 20 Katharavulya Pallivasal  2nd Street
3.Ward 20 Katharavulya Pallivasar  3rd Street
4.Ward 19 Raghumaniya Pallivasal  Sannathi  Street 999.OVERSEAS ELECTORS",General,Corporation Middle  School  South Portion South Side,Pettai.,dravida munnetra kazhagam,552,119,433,tamilaga vettri kazhagam,4,3,1,5,8,8,2,8,8,8,8,8,8,8,6,6,61.76890156918687,2
218,11,19,463,2,0,0,1,0,106,0,0,0,0,0,1,1,0,0,4,1,609,0,3,612,0,Anganwadi  Building Corporation Middle  School  (Campus) Pettai,"1.Ward 19 Raghumaniya Pallivasal  Mela Puthumanai  Street
2.Ward 20 Cheranmahadevi  Road 999.OVERSEAS ELECTORS",General,Anganwadi  Building Corporation Middle  School  (Campus) Pettai,Anganwadi  Building Corporation Middle  School  (Campus) Pettai,dravida munnetra kazhagam,463,106,357,tamilaga vettri kazhagam,4,3,1,6,10,10,2,10,10,10,7,7,10,10,5,7,58.62068965517241,7
219,122,19,78,1,0,0,1,0,130,1,0,0,0,0,1,0,0,0,1,0,354,0,0,354,0,"Corporation Primary School,  North Portion New Building Sivankovil  Ward,  Kadar  Avulia Street,  Pettai.",1.Ward 19 Puthu Giramam Sundravinayagarkovil  North Street 999.OVERSEAS ELECTORS,General,"Corporation Primary School,  North Portion New Building Sivankovil  Ward,  Kadar  Avulia Street",Pettai.,tamilaga vettri kazhagam,130,122,8,all india anna dravida munnetra kazhagam,2,4,3,5,8,8,1,8,8,8,5,8,8,8,5,8,2.259887005649718,2
220,126,36,136,0,1,0,0,1,214,3,2,0,0,1,0,3,1,1,1,0,526,0,2,528,0,"Tirunelveli  Corporation Integrated Children's Centre  Centre Number  0326   Sivankovil  Ward,  Kadar  Avulia Street,  Pettai.",1.Ward 19 Puthu Gramam Sundravinayagarkovil  South Street 999.OVERSEAS ELECTORS,General,"Tirunelveli  Corporation Integrated Children's Centre  Centre Number  0326   Sivankovil  Ward,  Kadar  Avulia Street",Pettai.,tamilaga vettri kazhagam,214,136,78,dravida munnetra kazhagam,3,4,2,12,6,6,1,12,12,6,12,5,6,6,6,12,14.82889733840304,7
221,148,82,224,2,0,2,0,1,338,0,5,0,0,2,1,1,2,1,0,1,810,0,3,813,0,"Corporation Primary School,  New Building,  Sivan Kovil Ward,  Center  Portion,  Kadar  Avulia Street,  Pettai.","1.Ward 21 Ashokar  South Street
2.Ward 19 Pathirakaliamman Kovil  Street
3.Ward 19 Narayanasamy Kovil  Street 999.OVERSEAS ELECTORS",General,"Corporation Primary School,  New Building,  Sivan Kovil Ward,  Center  Portion,  Kadar  Avulia Street",Pettai.,tamilaga vettri kazhagam,338,224,114,dravida munnetra kazhagam,3,4,2,5,13,8,1,13,13,5,8,8,5,8,13,8,14.07407407407407,8
222,124,28,239,2,0,0,0,1,229,2,1,0,1,0,0,0,0,0,2,1,630,0,4,634,0,"Corporation Primary School,  New Building,  South Side, Cheranmadevi  Road,  Kadhar  Avulia Street,  Pettai.","1.Ward 19 Pandiyapuram North Street
2.Ward 19 Pandiyapuram South Street
3.Ward 19 Bunglow Street 999.OVERSEAS ELECTORS",General,"Corporation Primary School,  New Building,  South Side, Cheranmadevi  Road,  Kadhar  Avulia Street",Pettai.,dravida munnetra kazhagam,239,229,10,tamilaga vettri kazhagam,3,4,1,5,10,7,2,10,7,10,10,10,10,10,5,7,1.587301587301587,4
223,61,13,96,1,0,0,1,0,155,0,35,0,1,0,0,0,0,0,2,2,367,0,3,370,0,"Meikandan Primary School,  70,  Vinaitheertha Vinayagar Kovil  Street,  Pettai.","1.Ward 19 Handicraft  Street
2.Ward 19 Kakkanji  Nagar
3.Ward 21 Pasumpon West  Street
4.Ward 21 Pasumpon East  Street
5.Ward 21 Ashokar  North Street 999.OVERSEAS ELECTORS",General,"Meikandan Primary School,  70,  Vinaitheertha Vinayagar Kovil  Street",Pettai.,tamilaga vettri kazhagam,155,96,59,dravida munnetra kazhagam,3,4,2,7,9,9,1,9,7,9,9,9,9,9,5,5,16.07629427792915,5
224,129,36,148,0,0,1,1,0,190,1,1,0,0,1,2,2,0,0,0,0,512,0,2,514,0,Noble  Kids Nursery & Primary School  South Side  Middle Portion Room Pettai,"1.Ward 19 Bungalow Street
2.Ward 19 Karunkadu Road
3.Ward 21 Pound Street
4.Ward 21 Kattapomman Street 999.OVERSEAS ELECTORS",General,Noble  Kids Nursery & Primary School  South Side  Middle Portion Room Pettai,Noble  Kids Nursery & Primary School  South Side  Middle Portion Room Pettai,tamilaga vettri kazhagam,190,148,42,dravida munnetra kazhagam,3,4,2,8,8,8,1,8,8,7,5,5,8,8,8,8,8.203125,5
225,174,22,141,2,0,1,0,4,264,3,0,0,0,1,5,2,1,0,0,2,622,0,3,625,0,"Nellai  Corporation Girls Hr.Sec.School,  Northern Block South Portion,  Thirupurasundariamman Sannathi  Street, Pettai.","1.Ward 21 Thirupurasundariamman Kovil  West  Street
2.Ward 21 Uchinimahaliamman Kovil  Street 999.OVERSEAS ELECTORS",General,"Nellai  Corporation Girls Hr.Sec.School,  Northern Block South Portion,  Thirupurasundariamman Sannathi  Street",Pettai.,tamilaga vettri kazhagam,264,174,90,all india anna dravida munnetra kazhagam,2,4,3,7,12,6,1,12,12,10,5,7,10,12,12,7,14.46945337620579,11
226,152,30,124,1,0,1,0,1,218,0,1,0,1,0,1,0,2,1,0,1,534,0,0,534,0,"Nellai  Corporation Girls Hr.Sec.School,  Northern Block
North Portion,  Thirupurasundariamman Sannathi  Street, Pettai.","1.Ward 21 Sargaraivinayagar  Kovil  Street
2.Ward 21 ThirupuraSundariamman Sannathi  Street 999.OVERSEAS ELECTORS",General,"Nellai  Corporation Girls Hr.Sec.School,  Northern Block
North Portion,  Thirupurasundariamman Sannathi  Street",Pettai.,tamilaga vettri kazhagam,218,152,66,all india anna dravida munnetra kazhagam,2,4,3,6,12,6,1,12,6,12,6,12,5,6,12,6,12.35955056179775,6
227,101,34,148,2,0,0,1,2,236,0,0,0,0,0,2,0,0,2,5,1,534,0,3,537,0,"Nellai  Corporation Girls Hr.Sec.School,  Southern Block Thiripurasundari  Amman Kovil  Sannathi  Street,  Pettai.","1.Ward 21 Vinaitheertha Vinayagar  Kovil  Street  Door  No.  1 to 112A   Sl.No 1-615   South Portion
999.OVERSEAS ELECTORS",General,"Nellai  Corporation Girls Hr.Sec.School,  Southern Block Thiripurasundari  Amman Kovil  Sannathi  Street",Pettai.,tamilaga vettri kazhagam,236,148,88,dravida munnetra kazhagam,3,4,2,6,11,6,1,11,11,11,6,11,11,6,5,10,16.47940074906367,10
228,100,21,156,0,0,1,0,0,198,1,0,1,1,0,0,1,2,1,3,0,486,0,1,487,0,"Nellai  Corporation Girls Hr.Sec.School,  Middle  Block Thiripurasundari  Amman Kovil  Sannathi  Street,   Pettai.","1.Ward 21 Vinaitheertha Vinayagar  Kovil  Street  Door  No.  138 to 244 Sl.No 616-1455   North Portion
999.OVERSEAS ELECTORS",General,"Nellai  Corporation Girls Hr.Sec.School,  Middle  Block Thiripurasundari  Amman Kovil  Sannathi  Street",Pettai.,tamilaga vettri kazhagam,198,156,42,dravida munnetra kazhagam,3,4,2,11,11,11,1,7,7,11,11,7,6,7,5,11,8.641975308641975,9
229,21,15,400,0,0,0,0,1,144,0,0,1,0,1,1,0,0,0,0,1,585,0,2,587,0,"Hiyadul  Ikwan Nursery & Primary School,  East  Portion 1st Room Mohamed Nainar  2nd North Street,  Pettai.","1.Ward 20 Mohamed Nainar  Pallivasal  1st  North Street
2.Ward 20 Chittivinayagar  Kovil  Street
3.Ward 20 Pudukkinaru Street
4.Ward 20 Odaikinaru Street 999.OVERSEAS ELECTORS",General,"Hiyadul  Ikwan Nursery & Primary School,  East  Portion 1st Room Mohamed Nainar  2nd North Street",Pettai.,dravida munnetra kazhagam,400,144,256,tamilaga vettri kazhagam,3,4,1,10,10,5,2,5,10,5,5,10,10,10,10,5,43.76068376068376,4
230,7,9,308,3,0,0,0,1,66,0,1,0,0,0,0,2,0,0,1,0,398,0,0,398,0,Rani  Anna Girls Higher  Secondary School   West  Portion From North   Room   Pettai.,"1.Ward 20 Mohamed Nainar  Pallivasal  2nd North Street
2.Ward 20 Mohamed Nainar  Pallivasal  Sannathi  Street 999.OVERSEAS ELECTORS",General,Rani  Anna Girls Higher  Secondary School   West  Portion From North   Room   Pettai.,Rani  Anna Girls Higher  Secondary School   West  Portion From North   Room   Pettai.,dravida munnetra kazhagam,308,66,242,tamilaga vettri kazhagam,4,3,1,5,9,7,2,9,9,9,9,6,9,9,7,9,60.80402010050251,3
231,4,16,262,3,0,0,1,0,76,0,0,0,0,0,0,1,2,1,0,0,366,0,4,370,0,"Hiyadul  Ikwan Nursery & Primary School,  East  Portion 2nd Room Mohamed Nainar  2nd North Street,  Pettai.","1.Ward 20 Mohamed Nainar  Pallivasal  2nd South Street
2.Ward 20 Mohammad Nainar  Pallivasal  East  Street 999.OVERSEAS ELECTORS",General,"Hiyadul  Ikwan Nursery & Primary School,  East  Portion 2nd Room Mohamed Nainar  2nd North Street",Pettai.,dravida munnetra kazhagam,262,76,186,tamilaga vettri kazhagam,4,3,1,5,9,9,2,9,9,9,9,7,6,7,9,9,50.81967213114754,4
232,6,10,265,2,0,0,0,0,46,0,0,0,0,0,1,0,0,1,0,0,331,0,2,333,0,Rani  Anna Girls Higher  Secondary School   West  Side  From South   Pettai.,1.Ward 20 Mohamed Nainar  Pallivasal  1st  South Street 999.OVERSEAS ELECTORS,General,Rani  Anna Girls Higher  Secondary School   West  Side  From South   Pettai.,Rani  Anna Girls Higher  Secondary School   West  Side  From South   Pettai.,dravida munnetra kazhagam,265,46,219,tamilaga vettri kazhagam,4,3,1,5,8,8,2,8,8,8,6,8,8,6,8,8,66.16314199395771,2
233,59,13,227,1,0,0,0,0,129,1,0,0,0,1,0,0,0,0,0,0,431,0,3,434,0,"St.Anthoniyar  High School,  East  Portion South Building, Middle  Room Barathar  North Street,  Pettai.","1.Ward 20 Cheranmahadevi  Road
2.Ward 20 Punitha Antoniyar  South Street  (Bharthar  North Street) 999.OVERSEAS ELECTORS",General,"St.Anthoniyar  High School,  East  Portion South Building, Middle  Room Barathar  North Street",Pettai.,dravida munnetra kazhagam,227,129,98,tamilaga vettri kazhagam,3,4,1,5,7,7,2,7,7,5,7,7,7,7,7,7,22.73781902552204,1
234,27,13,577,1,0,0,1,1,180,0,1,0,0,3,0,0,2,0,4,0,810,0,3,813,0,"St.AnthoniyarHigh School,  West  Portion South Building,  8th Room Barathar  North Street,  Pettai.","1.Ward 20 Mahamathum Gnaniyar  Pallivasal  Sannathi  Street
2.Ward 20 Mahamathum Gnaniyar  Pallivasal  North Street (Karuvelankundru Street)
999.OVERSEAS ELECTORS",General,"St.AnthoniyarHigh School,  West  Portion South Building,  8th Room Barathar  North Street",Pettai.,dravida munnetra kazhagam,577,180,397,tamilaga vettri kazhagam,3,4,1,8,10,8,2,10,10,6,10,10,7,10,5,10,49.01234567901235,9
235,98,24,491,6,0,0,0,1,294,0,0,0,0,0,2,0,0,0,2,1,919,0,4,923,0,"St.Anthonyar  High School,  South Building,  1st  Room Barathar  North Street,  Pettai.","1.Ward 20 Punitha Antoniyar  North Street
2.Ward 20 Sambapuram Street
3.Ward 20 Sambapuram North Street
4.Ward 20 Sambapuram East  Street
5.Ward 20 Mahathum Gnaniyar  Pallivasal  5th North Street 999.OVERSEAS ELECTORS",General,"St.Anthonyar  High School,  South Building,  1st  Room Barathar  North Street",Pettai.,dravida munnetra kazhagam,491,294,197,tamilaga vettri kazhagam,3,4,1,5,10,8,2,10,10,10,6,10,10,10,6,8,21.43634385201306,5
236,16,19,484,1,0,1,0,0,110,0,1,0,0,0,0,0,0,0,0,0,632,0,3,635,0,"St.  Anthoniyar  High School,  East  Portion,  South Building, 1st  Room Barathar  North Street,  Pettai.",1.Ward 20 Mahathum Gnaniyar  Pallivasal  2nd North Street 999.OVERSEAS ELECTORS,General,"St.  Anthoniyar  High School,  East  Portion,  South Building, 1st  Room Barathar  North Street",Pettai.,dravida munnetra kazhagam,484,110,374,tamilaga vettri kazhagam,4,3,1,5,6,6,2,6,6,6,6,6,6,6,6,6,59.17721518987342,0
237,24,13,435,1,0,0,0,0,88,0,0,0,0,2,1,0,0,0,0,0,564,0,0,564,0,"St.  Anthoniyar  High   School,  West  Portion,  South Building, 7th Room Barathar  North Street,  Pettai.","1.Ward 20 Kaeithemillath Street
2.Ward 20 Mahathum Gnaniyar  Pallivasal  1st  North Street
3.Ward 20 Mahathum Gnaniyar  Pallivasal   4th North Street 999.OVERSEAS ELECTORS",General,"St.  Anthoniyar  High   School,  West  Portion,  South Building, 7th Room Barathar  North Street",Pettai.,dravida munnetra kazhagam,435,88,347,tamilaga vettri kazhagam,3,4,1,6,8,8,2,8,8,5,6,8,8,8,8,8,61.52482269503546,3
238,86,30,169,0,0,0,0,1,276,0,0,1,0,0,1,1,0,0,1,0,566,0,2,568,0,"Ideal  Matriculation    School,  UKG Class Room Sundaravinayagar  Kovil  Padayachi  Street,  Pettai.","1.Ward 22 Dr.Ambedkar  Street
2.Ward 22 Kamarajar  Street
3.Ward 22 Madasamy Kovil  Street 999.OVERSEAS ELECTORS",General,"Ideal  Matriculation    School,  UKG Class Room Sundaravinayagar  Kovil  Padayachi  Street",Pettai.,tamilaga vettri kazhagam,276,169,107,dravida munnetra kazhagam,3,4,2,10,10,5,1,5,10,10,5,5,10,10,5,10,18.90459363957597,4
239,59,40,209,1,0,1,1,0,182,1,116,1,0,3,0,1,0,0,2,1,618,0,4,622,0,"Corporation Primary School,  15,  lajapathi  Nagar, Malaiyalamedu,  Pettai.","1.Ward 22 Anjaneyar  Street
2.Ward 22 Ram Nagar
3.Ward 22 Malaiyal  Medu Lajapathi  Nagar
4.Ward 22 Kalungadi  Street
5.Ward 22 Tiruvalluvar  Street 999.OVERSEAS ELECTORS",General,"Corporation Primary School,  15,  lajapathi  Nagar, Malaiyalamedu",Pettai.,dravida munnetra kazhagam,209,182,27,tamilaga vettri kazhagam,3,4,1,7,11,11,2,7,11,5,11,7,11,11,6,7,4.368932038834951,8
240,93,30,100,1,0,0,0,1,199,1,2,0,1,1,2,1,0,0,1,0,433,0,0,433,0,"Kaboor  Middle  School,  Southern Portion, Santhanamariamman Kovil  Street,  Pettai.","1.Ward 22 Sundaravinayagar  Kovil  West  Street
2.Ward 22 Sundaravinayagar  South Street 999.OVERSEAS ELECTORS",General,"Kaboor  Middle  School,  Southern Portion, Santhanamariamman Kovil  Street",Pettai.,tamilaga vettri kazhagam,199,100,99,dravida munnetra kazhagam,3,4,2,6,12,6,1,12,6,6,5,6,12,12,6,12,22.86374133949192,6
241,126,25,112,1,0,0,0,2,200,1,0,0,0,1,0,2,1,0,1,2,474,0,0,474,0,"Kaboor  Middle  School,  North Gate  South Building , Santhanamariamman Kovil  Street,  Pettai.",1.Ward 22 Sundaravinayagar  Sekkadi  Street 999.OVERSEAS ELECTORS,General,"Kaboor  Middle  School,  North Gate  South Building , Santhanamariamman Kovil  Street",Pettai.,tamilaga vettri kazhagam,200,126,74,all india anna dravida munnetra kazhagam,2,4,3,8,12,5,1,12,12,8,12,5,8,12,8,5,15.61181434599156,7
242,121,32,205,0,1,0,0,0,240,1,0,0,0,1,1,1,1,1,0,1,606,0,2,608,0,"Ideal  Matriculation    School,  LKG Class Room Sundaravinayagar  Kovil  Padayachi  Street,  Pettai.","1.Ward 21 Vembadiamman Kovil  Street
2.Ward 21 East  Bazar
3.Ward 21 Durkaiamman Kovil  East  Street
4.Ward 21 Durkaiamman Kovil  New Street
5.Ward 21 Durkaiamman West  Street
6.Ward 22   Mahathum Gnaniyar  Pallivasal  East  Street 999.OVERSEAS ELECTORS",General,"Ideal  Matriculation    School,  LKG Class Room Sundaravinayagar  Kovil  Padayachi  Street",Pettai.,tamilaga vettri kazhagam,240,205,35,dravida munnetra kazhagam,3,4,2,12,5,12,1,12,12,5,5,5,5,5,12,5,5.775577557755775,6
243,122,29,132,2,1,0,0,0,219,0,1,1,0,0,2,1,1,1,0,0,512,0,3,515,0,"Vanigavaisiya Primary School,  East  Block,  Arasadi Vinayagar  Kovil  Street,  Pettai.","1.Ward 21 Santhanamariamman   Kovil  Street
2.Ward 21 Sundaravinayagar  Kovil  Padayachi  Street 999.OVERSEAS ELECTORS",General,"Vanigavaisiya Primary School,  East  Block,  Arasadi Vinayagar  Kovil  Street",Pettai.,tamilaga vettri kazhagam,219,132,87,dravida munnetra kazhagam,3,4,2,5,7,12,1,7,12,12,5,7,7,7,12,12,16.9921875,6
244,93,16,74,0,0,0,1,0,146,0,0,0,0,0,1,0,1,1,0,1,334,0,0,334,0,Punitha Anthoniyar  Primary School   West  Building   South Portion   Pettai,1.Ward 21 Annathavinayagar  Kovil  Street 999.OVERSEAS ELECTORS,General,Punitha Anthoniyar  Primary School   West  Building   South Portion   Pettai,Punitha Anthoniyar  Primary School   West  Building   South Portion   Pettai,tamilaga vettri kazhagam,146,93,53,all india anna dravida munnetra kazhagam,2,4,3,9,9,9,1,9,9,9,5,9,5,5,9,5,15.86826347305389,4
245,91,29,165,0,1,0,1,1,193,0,64,0,1,1,4,0,0,0,0,0,551,0,3,554,0,"Vanigavaisiya Primary School,  Northern Portion Building, Arasadi  Vinayagar  Kovil  Street,  Pettai.","1.Ward 21 Illathar  South Street  (Selvavinayagar  Kovil  Street)
2.Ward 22 Udaiyavar  Street
3.Ward 22 Thanthai  Periyar  Street
4.Ward 21 Illathar  North Street  (Selvavinayagar  Kovil  North Street) 999.OVERSEAS ELECTORS",General,"Vanigavaisiya Primary School,  Northern Portion Building, Arasadi  Vinayagar  Kovil  Street",Pettai.,tamilaga vettri kazhagam,193,165,28,dravida munnetra kazhagam,3,4,2,10,6,6,1,10,6,6,5,10,10,10,10,10,5.081669691470054,6
246,76,11,78,5,0,0,0,0,146,0,1,0,1,0,2,0,0,0,0,1,321,0,1,322,0,Punitha Anthoniyar  Primary School   West  Building   Middle Portion    Pettai,1.Ward 22 Arasadivinayagar  Kovil  Street 999.OVERSEAS ELECTORS,General,Punitha Anthoniyar  Primary School   West  Building   Middle Portion    Pettai,Punitha Anthoniyar  Primary School   West  Building   Middle Portion    Pettai,tamilaga vettri kazhagam,146,78,68,dravida munnetra kazhagam,3,4,2,5,9,9,1,9,7,9,6,9,9,9,9,7,21.18380062305296,4
247,120,37,107,0,0,0,1,0,176,0,41,0,0,1,2,1,1,0,0,0,487,0,1,488,0,"Vanigavaisiya Primary School,  West  Portion,  Main Building, Arasadi  Vinayagar  Kovil  Street,  Pettai.","1.Ward 22 Cheranmahadevi  Road
2.Ward 21 Sundaravinayagar  Padayachi  Street
3.Ward 22 Kattalai  Street
4.Ward 22 Andalpuram
5.Ward 22 Raja Street 999.OVERSEAS ELECTORS",General,"Vanigavaisiya Primary School,  West  Portion,  Main Building, Arasadi  Vinayagar  Kovil  Street",Pettai.,tamilaga vettri kazhagam,176,120,56,all india anna dravida munnetra kazhagam,2,4,3,9,9,9,1,9,9,6,5,6,6,9,9,9,11.49897330595483,5
248,88,34,93,3,0,0,0,1,191,0,11,0,0,0,3,0,0,0,0,0,424,0,0,424,0,Punitha Anthoniyar  Primary School   West  Building North Portion   Pettai,1.Ward 22 Nellaiyapuram East  Street 999.OVERSEAS ELECTORS,General,Punitha Anthoniyar  Primary School   West  Building North Portion   Pettai,Punitha Anthoniyar  Primary School   West  Building North Portion   Pettai,tamilaga vettri kazhagam,191,93,98,dravida munnetra kazhagam,3,4,2,5,8,7,1,8,8,8,5,8,8,8,8,8,23.11320754716981,3
249,90,22,169,3,0,0,0,1,214,0,2,0,0,0,0,0,1,0,0,1,503,0,0,503,0,"Ooliyar  Sthanam Teacher  Training School,  Centenary Block, East  Portion,  Tenkasi  Road,  Palaiyapettai.","1.Ward 17 Sheik Mathar  Nagar
2.Ward 17 District  Kalnadaipannai
3.Ward 17 Rasaiya David Avenue  Street 999.OVERSEAS ELECTORS",General,"Ooliyar  Sthanam Teacher  Training School,  Centenary Block, East  Portion,  Tenkasi  Road",Palaiyapettai.,tamilaga vettri kazhagam,214,169,45,dravida munnetra kazhagam,3,4,2,5,9,6,1,9,9,9,9,9,6,9,9,6,8.946322067594433,2
