Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
241,Bharthi  Nagar Mettu  Street Kovilpatti,"1.Kovilpatti  (m)  Sbm  bungalow  line  ,  2.Kovilpatti  (M)  G.K.Nagar  Street  1  , 3.Kovilpatti(M)  G.K.Nagar  Street  2  ,  4.Kovilpatti(M)  G.K.Nagar  Street  3  ,
5.Kovilpatti(M)  Mullai  Nagar  ,  6.Kovilpatti(M)  M.K.T.Nagar  ,  7.Kovilpatti(M) Lenin  Nagar  ,  8.Kovilpatti(M)  Ramaiah  Nagar  1  ,  9.Kovilpatti(M)  Ramaiah Nagar  2  ,  10.Kovilpatti(M)  Ramaiah  Nagar  3  ,  11.Kovilpatti(M)  Ramaiah
Nagar  4  ,  12.Kovilpatti(M)  Pasumpon  Nagar  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,2.865329512893983
244,Kovilpatti,"1.Kovilpatti  (M)  BharathiNagar  Medtu  Street  1  ward  30  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.591715976331361
245,Kovilpatti,"1.Kovilpatti  (M)  Bharathinagar  Mettutheru  2  ward  30  ,
2.Kovilpatti  (M)  Bharathinagar  Mettustreet  4  ward  30,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,4.895104895104895
246,Kovilpatti,"1.Kovilpatti  (M)  Bharathinagar  Mettutheru  3  ward  30  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.5689900426742532
247,Kovilpatti,"1.Kovilpatti  (M)  Shastri  nagar  Door  No.  1  to  70  (  Sl.No.From  1  to  731), 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,2.676864244741874
248,Kovilpatti,1.Kovilpatti  (M)  Shastri  nagar  Door  No.  71  Above  (  Sl.No.From  732-1383 999.OVERSEAS  ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.4597701149425287
253,Kovilpatti,"1.Koilpatti  (M)  Vakil  Street  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,9,1.428571428571429
262,Kovilpatti,"1.Kovilpatti  (m)  Kathirason  kovil  street  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,1.201923076923077
266,Kovilpatti,"1.Kovilpatti  (M)  Kathirasan  kovil  street  2  ,  2.Kovilpatti  (M)  Kathirasan
kovil  Street  3  ,  3.Kovilpatti  (M)  Kathirasan  kovil  street  4  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,11,1.836393989983305
269,Kovilpatti,"1.Kovilpatti  (M)  Kathirasan  kovil  Street  1  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,4.859813084112149
270,Kovilpatti,"1.Kovilpatti  (M)  Kathirasan  Kovil  Street  7  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,1.255230125523012
281,Pandavarmangalam Kovilpatti,1.Pandavar  Mangalam  (R.V)And  (P)  Ragiv  Nagar  5th  Street  Block  6 999.OVERSEAS  ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,6,1.910828025477707
282,Pandavarmangalam Kovilpatti,"1.Pandavar  Mangalam  (R.V)  And  (P)  Rageev  Nagar  1st  Street  Block  6  , 2.PandavarMangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  2  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,4.709141274238227
284,"Shunmugasigamani Nagar,  Kovilpatti","1.Pandavar  Mangalam  (R.V)  And  (P)  Pallaku  Road  South  Block  5  , 2.Pandavarmangalam  (R.V)  And  (P)  Rajiv  Nagar  Street  3  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,13,3.233830845771144
292,Pandavarmangalam Kovilpatti,"1.Pandavarmangalam  (R.V)  And  (P)  Keelapandavarmangalam  block  3  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,17,2.02140309155767
296,Kilavipatti,"1.Kelavipatti  (R.V)  And  (P)  Kovilpatti  ,  2.Kelavipatti  (R.V)  And(P)  S.  C,. colony  ,  3.Kelavipatti  (R.V)  And  (P)  Melacolony  ,  4.Kelavipatti  (R.V)  And  (P) Kachilapuram  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,43,4.414784394250513
297,Mudukkalankulam,"1.Mudukanlakulam  (R.V)  And  (P)  West  Street  Block  1  , 2.Mudukanlakulam  (R.V)  And  (P)  East  Street  Block  2  , 3.Mudukanlakulam  (R.V)  And  (P)  North  Street  Block  3  , 4.Mudukkalankulam  (R.V)  And  (P)  South  Street  Block3  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,35,3.775620280474649
298,Sivanthipatti,"1.Sivanthipatti  (R.V)  And(P)  Sivanthipatti  Block  1  ,  2.Sivanthipatti  (R.V) And(P)  Sivanthipatti  Block  2  ,  3.Sivanthipatti  (R.V)  And(P)  Kumarapuram Block  5  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,12,2.62582056892779
301,Theethampatti,"1.Duriyur  (R.V)  ,Theethampatti  (p)  Theethampatti  block  1  ,  2.Duriyur (R.V)  ,Theethampatti  (p)  Theethampatti  Block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.6153846153846154
302,Kamanayakkanpatti,"1.Kamanayakkanpatti  (R.V)  And  (P)  South  street  block  1  ,
2.Kamanayakkanpatti  (R.V)  And  (P)  Veeramamunivar  Nagar  Block  1  , 3.Kamanayakkanpatti  (R.V)  And  (P)  Kulanthai  jesu  Nagar  Block  1  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,30,4.36046511627907
304,Kamanayakkanpatti,"1.Kamanayakkanpatti  (R.V)  And  (P)  North  Street  Block  2  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,3.71900826446281
306,Guruvinatham,1.  Kuruvinatham  (R.V)  And  (P)  Kuruvinatham  Block  1 999.OVERSEAS  ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,25,3.759398496240602
307,Guruvinatham,1.  Kuruvinatham  (R.V)  And  (P)  Ilanthaipatti  Block 999.OVERSEAS  ELECTORS,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,7,1.286764705882353
309,Puthupatti,"1.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram  west  street block  3  ,  2.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram
East  Street  Block  3  ,  3.Koppampatti  (R.V),  Mudukalankulam  (P) Veppangkulam  Block  4  ,  4.Koppampatti  (R.V),  Mudukalankulam  (P)
Pudhupatti  West  Street  Block  5  ,  5.Koppampatti  (R.V),  Mudukalankulam
(P)  Pudhupatti  East  street  block  5  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,7,1.4
310,Achankulam,"1.Achankulam  (R.V)  And  (P)  Achankulam  Block  1  ,  2.Achankulam  (R.V) And  (P)  Achankulam  Block  2  ,  3.Achankulam  (R.V)  And  (P)  Kottaiur  Block 3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,23,3.96551724137931
312,Therkku  vandanam,"1.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  1  , 2.Vadakkuvandanam  (R.V)  And  (P)  Vadakkuvandanam  Block  2  , 3.Therkuvandanam  (R.V)  And  (P)  Therkuvandanam  Block  1  , 4.Therkuvandanam  (R.V)  And  (P)  K.Kumarapuram  Block  2  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,35,4.088785046728971
314,Theethampatti,"1.Thethampatti  (R.V)  And  (P)  Thethampatti  Block  1  ,  2.Thethampatti  (R.V) And  (P)  Thethampatti  Block  2  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.7104795737122558
