Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
73,174,193,32,0,0,0,0,109,0,2,0,1,0,0,1,3,1,1,0,0,0,517,0,1,518,0,Kayathar,"Panchyat  Union  Middle  School,  North Building  west  Room,  Kayathar.","1.Kayathar  (F.G.T.P)  Bharathiar  Street  ,  2.Kayathar  (F.G.T.P)  Jawaherlal Street  ,  3.Kayathar  (F.G.T.P)  Kadamboor  Street  ,  4.Kayathar  (F.G.T.P) Sathiram  Ward  6  ,  5.Kayathar  (F.G.T.P)  Subregister  Office  Street  ,
6.Kayathar  (F.G.T.P)  Nanthavanathu  Kenatru  Street  ,  7.Kayathar
(F.G.T.P)  Mutharamman  Kovil  North  Street  ,  8.Kayathar  (F.G.T.P) Mutharamman  Kovil  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,517,Dravida Munnetra Kazhagam,193,174,19,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,11,11,11,11,11,6,11,7,11,11,7,5,7,7,11,11,11,3.67504835589942,9
74,296,154,32,1,0,1,2,125,0,1,0,0,0,0,1,4,4,1,0,1,0,623,0,4,627,0,Kayathar,"Panchyat  Union  Middle  School  ,  West Building  East  Room  ,  Kayathar.","1.Kayathar  (F.G.T.P)  Kanniamman  Kovil  Street  ,  2.Kayathar  (F.G.T.P) Mariamman  Kovil  Street  Ward  7  ,  3.Kayathar  (F.G.T.P)  Missan  Kovil
Street  ,  4.Kayathar  (F.G.T.P)  Vivekananthan  Street  ,  5.Kayathar  (F.G.T.P) Sekadi  Street  ,  6.Kayathar  (F.G.T.P)  Kalivanan  street  ,  999.OVERSEAS
ELECTORS",All  Voters,623,All India Anna Dravida Munnetra Kazhagam,296,154,142,Dravida Munnetra Kazhagam,2,1,4,3,8,14,8,7,14,8,14,14,14,14,8,5,5,8,14,8,14,22.79293739967897,12
75,44,422,14,0,1,0,0,75,0,0,0,0,0,0,0,0,3,0,0,0,0,559,0,0,559,0,Kayathar,"Panchayat  Union  Primary  School  ,  Main Building,  Uchi  makaliamman  kovil  street Kayathar.","1.Kayathar  (F.G.T.P)  Main  Road  Ward  10  ,
2.Kayathar  (F.G.T.P)  Umarupulavar  Street  Ward  10  ,
3.Kayathar  (F.G.T.P)  Uppuk  Kenatrutheru  Ward  10  ,
4.Kayathar  (F.G.T.P)  Main  Road  Ward  11  ,
5.Kayathar  (F.G.T.P)  SentamilStreet  Ward  11  ,
6.Kayathar  (F.G.T.P)  Aajath  Street  Ward  11  ,
7.Kayathar  (F.G.T.P)  Bhavalar  Street  Ward  11  ,
8.Kayathar  (F.G.T.P)  Ginna  STreet  Ward  11  , 999.OVERSEAS  ELECTORS",All  Voters,559,Dravida Munnetra Kazhagam,422,75,347,Tamilaga Vettri Kazhagam,1,3,4,2,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,62.07513416815742,3
76,40,382,19,0,0,0,0,44,0,0,0,1,0,0,0,1,0,1,0,0,0,488,0,0,488,0,Kayathar,Community  hall  Kayathar,"1.Kayathar  (F.G.T.P)  Main  Road  Ward  9  ,
2.Kayathar  (F.G.T.P)  Pallivasal  North  Street  ward  9  ,
3.Kayathar  (F.G.T.P)  Sathkathulla  Appa  Street  Ward  9  ,
4.Kayathar  (F.G.T.P)  Seethakkadi  Street  Ward  9  ,
5.Kayathar  (F.G.T.P)  Pallivasal  Nadu  Street  Ward  9  ,
6.Kayathar  (F.G.T.P)  Kajamohadin  Street  Ward  9  ,
7.Kayathar  (F.G.T.P)  Jaherhussian  Street  Ward  9  ,
8.Kayathar  (F.G.T.P)  Pallivasal  Melatheru  Ward  9  , 999.OVERSEAS  ELECTORS",All  Voters,488,Dravida Munnetra Kazhagam,382,44,338,Tamilaga Vettri Kazhagam,1,3,4,2,8,8,8,8,8,8,8,5,8,8,8,5,8,5,8,8,8,69.26229508196722,3
77,143,196,34,0,0,3,1,172,0,0,0,0,0,2,1,1,0,1,0,0,0,554,0,1,555,0,Kayathar,"Town  panchayat  Office  ,  Kadambur  main road  Kayathar.","1.Kayathar  (F.G.T.P)Ward  8  China  pillaiar  Kovil  Street  ,  2.Kayathar
(F.G.T.P)  Hospital  Road  ,  3.Kayathar  (F.G.T.P)  Ward  8  Aarokkamatha
Vadaku  Street  ,  4.Kayathar  (F.G.T.P)  Ward  8  AarokyaMathaKovil  Street  ,
5.Kayathar  (F.G.T.P)  Shanthana  Matha  Kovil  North  Street  ,  6.Kayathar (F.G.T.P)  Shanthana  MathaKovil  Street  ,  7.Kayathar  (F.G.T.P)  Ward  8 Muthuramalinganar  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,554,Dravida Munnetra Kazhagam,196,172,24,Tamilaga Vettri Kazhagam,1,3,4,2,11,11,5,7,11,11,11,11,11,6,7,7,11,7,11,11,11,4.332129963898916,5
78,187,60,17,0,1,0,0,71,1,0,0,0,0,0,0,1,1,1,0,0,0,340,0,0,340,0,Arasankulam,"Panchyat  Union  Primary  School  ,  SSA Building  ,  Arasankulam.","8.Kayathar  (F.G.T.P)  ward  12  Arasan  kulam  ,  999.OVERSEAS  ELECTORS",All  Voters,340,All India Anna Dravida Munnetra Kazhagam,187,71,116,Tamilaga Vettri Kazhagam,3,1,4,2,10,5,10,10,5,10,10,10,10,10,10,5,5,5,10,10,10,34.11764705882353,3
79,205,296,54,1,0,0,1,298,0,4,1,1,0,2,3,3,0,1,0,0,2,872,0,1,873,0,Kayathar,"Panchyat  Union  Middle  School  ,  Southern Side  West  Room  1st  Hall  ,  Kayathar.","1.Kayathar  (F.G.T.P)  North  subramaniyapuram  ,  2.Kayathar  (F.G.T.P) Ward  12  Subramaniyapuram  South  ,  3.Kayathar  (F.G.T.P)  Rajiv  Nagar  , 999.OVERSEAS  ELECTORS",All  Voters,872,Tamilaga Vettri Kazhagam,298,296,2,Dravida Munnetra Kazhagam,2,3,4,1,10,15,15,10,15,5,10,10,15,8,6,6,15,10,15,15,8,0.2293577981651376,17
80,91,105,34,0,0,1,1,116,0,108,0,1,1,2,2,4,0,0,0,0,0,466,0,1,467,0,Kayathar,"Panchyat  Union  Middle  School  ,  Southern Side  Eastern  Building  ,  Kayathar.","1.Kayathar  (F.G.T.P)  Ward  12  North  Subramaniyapuram  Kalani  ,
2.Kayathar  (F.G.T.P)  Ward  12  Bharathinagar  ,  999.OVERSEAS ELECTORS",All  Voters,466,Tamilaga Vettri Kazhagam,116,108,8,Independent,3,4,5,1,13,13,9,9,13,2,13,9,9,7,7,6,13,13,13,13,13,1.716738197424893,118
81,120,51,41,0,0,0,1,67,0,60,0,0,0,0,0,0,0,0,0,0,0,340,0,0,340,0,Pudukottai,"Panchyat  Union  Primary  School  , Pudukottai.","1.Kayathar  (F.G.T.P)  Ward  12  Pudhukottai  ,  999.OVERSEAS  ELECTORS",All  Voters,340,All India Anna Dravida Munnetra Kazhagam,120,67,53,Tamilaga Vettri Kazhagam,4,1,5,2,7,7,7,6,7,3,7,7,7,7,7,7,7,7,7,7,7,15.58823529411765,60
82,250,348,109,2,0,1,1,223,0,6,0,0,0,1,2,0,3,3,2,0,0,951,0,1,952,0,Akilandapuram,"R.C.  Primary  School,  West  Side  , Akilandapuram.","1.Akilandapuram  (R.V)  And  (P)  Akilandapuram  Block  1  , 2.Akilandapuram  (R.V)  And  (P)  Akilandapuram  Block  2  , 3.Akilandapuram  (R.V)  And  (P)  Akilandapuram  Block  3  , 4.Akilandapuram  (P)  Akilandapuram  Block  4  ,  999.OVERSEAS ELECTORS",All  Voters,951,Dravida Munnetra Kazhagam,348,250,98,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,8,14,11,11,14,5,14,14,14,11,8,14,6,6,8,14,14,10.3049421661409,17
83,194,243,40,0,0,1,0,128,1,14,0,0,0,0,1,1,1,1,0,0,0,625,0,1,626,0,Akilandapuram,"Mahalakshmi  Middle  School,  North  Block South  Side,  Akilandapuram.","1.Akilandapuram  (R.V)  And  (P)  Sathirapatti  5  ,  2.Akilandapuram  (R.V) And  (P)  Salaipudhur  Block  8  ,  999.OVERSEAS  ELECTORS",All  Voters,625,Dravida Munnetra Kazhagam,243,194,49,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,12,12,6,12,6,5,12,12,12,12,6,6,6,6,12,12,12,7.84,18
84,156,202,34,0,0,1,1,75,1,3,0,0,0,0,1,1,2,1,0,0,0,478,0,0,478,0,Karisalkulam,"Govt  Primary  School,  (ADW),  Karisalkulam","1.Akilandapuram  (R.V)  And  (P)  Karisalkulam  Block  6  ,  2.Akilandapuram
(P)  Karisalkulam  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,478,Dravida Munnetra Kazhagam,202,156,46,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,13,7,7,7,5,13,13,13,13,7,7,6,7,13,13,13,9.623430962343097,8
85,238,170,42,0,0,3,1,156,0,8,1,0,2,0,1,4,0,0,0,0,0,626,0,1,627,0,Pannikulam,"R.C.  Middle  School,  Main  Building  , Pannikulam.","1.Pannikulam  (R.V)  And  (P)  Pannikulam  Block  1  ,  2.Pannikulam  (R.V) And  (P)  Pannikulam  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,626,All India Anna Dravida Munnetra Kazhagam,238,170,68,Dravida Munnetra Kazhagam,2,1,4,3,12,12,7,9,12,5,9,12,8,12,9,6,12,12,12,12,12,10.86261980830671,16
86,254,198,41,1,0,1,1,158,0,19,0,0,0,0,0,0,0,0,0,0,0,673,0,1,674,0,Pannikulam,"R.C.  Middle  School,  South  side  New  Building
,  Pannikulam.","1.Pannikulam  (R.V)  And  (P)  Pannikulam  Block  3  ,  2.Pannikulam  (R.V) And  (P)  Pannikulam  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,673,All India Anna Dravida Munnetra Kazhagam,254,198,56,Dravida Munnetra Kazhagam,2,1,4,3,6,9,6,6,9,5,9,9,9,9,9,9,9,9,9,9,9,8.320950965824665,19
87,219,117,36,2,0,0,0,87,0,14,0,1,0,1,1,2,2,0,0,0,0,482,0,1,483,0,Thirumalapuram,"Panchayat  Union  Primary  School  ,  North Side  ,  Thirumalapuram.","1.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  south  street  Block  1  , 2.Thirumalaipuram  (R.V)  And  (P)  Thirumalapuram  Middle  Street  Block  1  , 3.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  North  Street  Block  1  , 4.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  West  Street  Block  1  , 5.Thirumalapuram  (R.V)  And  (P)  Nouchikulam  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,482,All India Anna Dravida Munnetra Kazhagam,219,117,102,Dravida Munnetra Kazhagam,2,1,4,3,6,12,12,12,12,5,12,9,12,9,9,6,6,12,12,12,12,21.16182572614108,21
88,53,130,37,4,0,0,3,47,1,123,0,1,2,1,2,7,1,2,2,1,1,418,0,2,420,0,Kumaragiri,"Panchayat  Union  Middle  School  , Kumaragiri.","1.Kapulingampatti  (R.V)  And  (P)  Kumarageri  Block  3  ,  2.Kappulingampatti (R.V)  And  (P)  Avudaiammalpuram  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,418,Dravida Munnetra Kazhagam,130,123,7,Independent,1,3,5,4,7,19,19,8,13,2,19,13,9,13,9,6,13,9,9,13,13,1.674641148325359,143
89,151,327,22,1,0,0,1,46,0,13,0,0,0,1,1,0,2,1,0,1,0,567,0,1,568,0,Kappulingampatti,"Panchayat  Union  Primary  School, Kappulingampatti","1.Kappulingampatti  (R.V)  And  (P)  Kappulingampatti  Block  3  , 2.Kappulingampatti  (R.V)  And  (P)  Kappulingampatti  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,567,Dravida Munnetra Kazhagam,327,151,176,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,7,13,13,7,13,5,13,13,13,7,7,13,6,7,13,7,13,31.04056437389771,19
90,192,290,79,0,1,11,3,230,0,0,1,1,2,0,9,6,0,3,0,0,0,828,0,1,829,0,Savalaperi,"T.D.T.A  Primary  School,  Savalaperi.","1.Savalaperi  (R.V)  And  (P)  Savalaperi  Block  1  ,  2.Savalaperi  (R.V)  And  (P) Savalaperi  Block  2  ,  3.Savalaperi  (R.V)  And  (P)  Nagampatti  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,828,Dravida Munnetra Kazhagam,290,230,60,Tamilaga Vettri Kazhagam,1,3,4,2,14,11,5,8,14,14,11,11,10,14,6,7,14,8,14,14,14,7.246376811594203,22
91,221,193,11,1,0,0,0,98,1,0,2,1,1,0,0,8,5,1,0,1,0,544,0,0,544,0,Thalavaipuram Irupppu Gopalapuram,"Panchayat  Union  Primary  School  , Thalavaipuram  Irupppu  Gopalapuram.","1.Asoor  (R.V)  And  (P)  K.Gopalapuram  Block  1  ,  2.Asoor  (R.V)  And  (P) Sivanoor  Block  2  ,  3.Asoor  (R.V)  And  (P)  Asoor  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,544,All India Anna Dravida Munnetra Kazhagam,221,193,28,Dravida Munnetra Kazhagam,2,1,4,3,8,14,14,14,8,14,7,8,8,14,14,5,6,8,14,8,14,5.147058823529411,19
92,179,75,22,0,0,2,0,83,0,1,0,0,0,0,0,1,0,4,0,0,0,367,0,0,367,0,Sivagnanapuram,"Panchayat  Union  Primary  School, Sivagnanapuram.","1.Sivagnanapuram  (R.V)  And  (P)  Sivagnanapuram  Block  1  , 2.Sivagnanapuram  (R.V)  And  (P)  Sivagnanapuram  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,367,All India Anna Dravida Munnetra Kazhagam,179,83,96,Tamilaga Vettri Kazhagam,3,1,4,2,9,9,6,9,9,7,9,9,9,9,9,7,9,5,9,9,9,26.15803814713896,6
93,216,166,41,0,0,2,1,78,1,27,0,0,0,1,0,6,0,3,0,0,2,544,0,4,548,0,Vagaithavoor,"Panchayat  Union  Middle  School, Vagaithavoor.","1.Sivagnanapuram  (R.V)  And  (P)  Vakaithuoor  block  3  ,  2.Sivagnnapuram (R.V)  And  (P)  Senivelalapuram  Block  4  ,  3.Sivagnnapuram  (R.V)  And  (P) Chockendrapandiyapuram  Block  5  ,  4.Sivagnnapuram  (R.V)  And  (P) Vakaikulam  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,544,All India Anna Dravida Munnetra Kazhagam,216,166,50,Dravida Munnetra Kazhagam,2,1,4,3,13,13,8,10,10,5,13,13,13,10,13,6,13,7,13,13,8,9.191176470588236,39
94,258,141,11,1,0,0,0,76,0,3,0,0,0,1,1,0,2,1,0,0,0,495,0,2,497,0,Chidmabarapuram,"Hindu  Primary  School,  Main  Building  North Side  ,  Chidmabarapuram.","1.Chedambarapuram  (p)  Chedambarapuram  block  1  , 2.Chedambarapuram  (P)  Chedambarapuram  Block  2  ,  OVERSEAS ELECTORS",All  Voters,495,All India Anna Dravida Munnetra Kazhagam,258,141,117,Dravida Munnetra Kazhagam,2,1,4,3,7,11,11,11,11,5,11,11,11,7,7,11,6,7,11,11,11,23.63636363636364,8
95,216,189,16,0,0,0,0,68,0,2,0,0,0,0,3,2,1,1,0,0,0,498,0,3,501,0,Chidmabarapuram,"Hindu  Primary  School,  Main  Building  South Side  ,  Chidmabarapuram.","1.Chedambarapuram  (P)  Chedambarapuram  Block  3  , 2.Chedambarapuram  (P)  Chedambarapuram  Block  4  ,  999.OVERSEAS ELECTORS",All  Voters,498,All India Anna Dravida Munnetra Kazhagam,216,189,27,Dravida Munnetra Kazhagam,2,1,4,3,10,10,10,10,10,6,10,10,10,10,5,6,8,8,10,10,10,5.421686746987952,9
96,273,313,69,2,0,0,4,266,0,11,0,3,2,2,5,6,4,5,0,0,1,966,0,5,971,0,Kadamboor,"K.A.R.M  Geroge  Middle  School,  East  Room, Kadambur.","1.Kadamboor  (S.P)  Bharathiveethiward  1  ,  2.Kadamboor  (S.P)
Bharathiveethi  sandu  1  ward  1  ,  3.Kadamboor  (S.P)  Bharathiveethi  sand 2  ward  1  ,  4.Kadamboor  (S.P)  Bharathiveethi  sandu  4  ward  1  , 5.Kadamboor  (S.P)  Bharathiveethi  sandu  3  ward  1  ,  6.Kadamboor  (S.P)
Bharathiveethi  sandu5  ward  1  ,  7.Kadamboor  (S.P)  Bharathiveethi  sandu 6  ward  1  ,  8.Kadamboor  (S.P)  Kumaran  Veethi  ward  2  ,  9.Kadamboor
(S.P)  Thangammalpuram  ward  2  ,  10.Kadamboor  (S.P)  Kaliamman
KovilStreet  ward  3  ,  11.Kadamboor  (S.P)  Kaliamman  KOvil  Street  3  Ward 2  ,  12.Kadamboor  (S.P)  Kaliamman  Kovil  Street  4  Ward  4  ,  13.Kadamboor (S.P)  Kaliamman  Kovil  Street  5  ward  4  ,  14.Kadamboor  (S.P)  Kaliamman Kovil  Street  6  ward  4  ,  15.Kadamboor  (S.P)  Kaliamman  Kovil  Sandu  1 ward  3  ,  16.Kadamboor  (S.P)  Kaliamman  kovil  sandu  2  ward  3  , 17.Kadamboor  (S.P)  Keelarathaveethi  ward  3  ,  18.Kadamboor  (S.P)
Keelarathaveethi  sandu  1  ward  3  ,  19.Kadamboor  (S.P)  Keelarathaveethi sand  2  ward  3  ,  20.Kadamboor  (S.P)  Railway  Station  Road  -  ward  4  , 21.Kadamboor  (S.P)  Vadakku  bazar  ward  4  ,  22.Kadamboor  (S.P)
Vadakkurathaveethi  ward  4  ,  23.Kadamboor  (S.P)  Central  bazhar  ward  5  , 24.Kadamboor  (S.P)  Sekkaditheru  ward  5  ,  25.Kadamboor  (S.P)
Keelarathavethei  ,  26.Kadamboor  (S.P)  Mariamman  Kovil  Nadutheru  ward 5  ,  27.Kadamboor  (S.P)  Keelarathaveethi  sandu  ward  5  ,  28.Kadamboor
(T)  Periyandawar  Koviltheru  ward  5  ,  29.Kadamboor  (s.p)  Kayathar  road ward  7  ,  30.Kadamboor  (S.P)  Garvei  Road  ward  7  ,  31.Kadamboor  (S.P)
Subregister  OfficeStreet  ward  7  ,  999.OVERSEAS  ELECTORS",All  Voters,966,Dravida Munnetra Kazhagam,313,273,40,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,12,16,16,9,16,5,16,11,12,12,7,6,9,7,16,16,15,4.140786749482402,39
97,199,393,32,1,1,10,1,127,1,0,0,0,1,1,1,4,1,3,0,0,0,776,0,1,777,0,Kadamboor,"K.A.R.M  Geroge  Middle  School,  Central  Room
,  Kadampur.","1.Kadamboor  (S.P)  South  Bazhar  Ward  6  ,  2.Kadamboor  (S.P)
Therkurathaveethi  ward  6  ,  3.Kadamboor  (S.P)  Valluvar  Street  Ward  6  , 4.Kadamboor  (S.P)  NarayanasamyKovil  Street  Ward  6  ,  5.Kadamboor  (S.P) Kettaingei  Street  Ward  6  ,  6.Kadamboor  (S.P)  ManthiraMoorthiKovil  Street ward  10  ,  7.Kadamboor  (S.P)  Vellar  Street  Ward  8  ,  8.Kadamboor  (S.P) Karuppasamy  Kovil  Street  ward  9  ,  9.Kadamboor  (S.P)  AranmanaiStreet ward  9  ,  10.Kadamboor  (S.P)  Agragaram  Road  ward  9  ,  11.Kadamboor
(S.P)  MissonKovil  Street  Ward  10  ,  12.Kadamboor  (S.P)  Nadutheru  ward 10  ,  13.Kadamboor  (S.P)  Southustreet  ward  10  ,  999.OVERSEAS
ELECTORS  OVERSEAS  ELECTORS",All  Voters,776,Dravida Munnetra Kazhagam,393,199,194,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,8,8,5,8,8,16,16,16,8,8,8,6,8,7,16,16,16,25.0,11
98,314,126,36,1,0,2,2,122,1,4,1,3,0,2,3,2,2,2,0,0,0,623,0,0,623,0,Kadamboor,"Hindu  Nadar  Hr.  Sec  School,  North  Building East  Side,  Kadamboor.","1.Kadamboor  (S.P)  Kattabommanveethi  Ward  11  ,  2.Kadamboor  (S.P)
V.O.C  ward  11  ,  3.Kadamboor  (S.P)  ThilagarVethi  Ward  11  ,  4.Kadamboor (S.P)  Nehru  Veethi  Ward  12  ,  5.Kadamboor  (S.P)  Bharathiveethi  Ward  12  , 6.Kadamboor  (S.P)  Gandhi  Veethi  Ward  12  ,  7.Kadamboor  (S.P)
Sankaraperi  Kalani  Ward  12  ,  8.Kadamboor  (S.P)  Arumuganagar  Kalani Ward  12  ,  9.Kadamboor  (S.P)  Sankaraperi  Pudhukalani  Ward  12  , 10.Kadamboor  (S.P)  Perumal  Kovil  Street  Ward  12  ,  999.OVERSEAS
ELECTORS",All  Voters,623,All India Anna Dravida Munnetra Kazhagam,314,126,188,Dravida Munnetra Kazhagam,2,1,4,3,14,17,8,8,14,5,14,6,17,8,6,8,8,8,17,17,17,30.17656500802568,19
99,159,295,20,0,0,1,0,106,0,6,0,1,0,0,3,1,1,3,0,0,1,597,0,0,597,0,Kuppanapuram,"Panchayat  Union  Primary  School,  Main Building  ,  Kuppanapuram.","1.Kuppanapuram  (R.V)  And  (P)  Kuppanapuram  Block  1  , 2.Kuppanapuram  (R.V)  And  (P)  Kuppanapuram  Block  2  , 3.Kuppanapuram  (R.V)  And  (P)  Chokkalingapuram  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,597,Dravida Munnetra Kazhagam,295,159,136,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,13,8,13,13,5,13,8,13,13,6,8,8,6,13,13,8,22.78056951423785,16
100,152,128,21,0,0,0,0,91,1,14,0,0,0,0,4,3,3,1,0,0,0,418,0,0,418,0,Ottadanpatti,"Panchayat  Union  Primary  School, Ottudanpatti.","1.Kuppanapuram  (R.V)  And  (P)  Ottudanpatti  Block  4  ,  2.Kuppanapuram (R.V)  And(P)  Mummalaipatti  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,418,All India Anna Dravida Munnetra Kazhagam,152,128,24,Dravida Munnetra Kazhagam,2,1,4,3,11,11,11,11,9,5,11,11,11,11,6,7,7,9,11,11,11,5.741626794258373,25
101,270,229,44,6,2,0,2,203,0,7,1,0,0,1,2,1,3,2,0,1,1,775,0,2,777,0,Kalugasalapuram,"Panchayat  Union  Primary School,Kalugasalapuram.","1.Kurumalai  (R.V)  And  (P)  Kalukasapuram  Block  9  ,  2.Kurumalai  (R.V) And  (P)  Kalukasapuram  (Kelur)  Block  10  ,  3.Kurumalai  (R.V)  And  (P) Ketcilapuram  Keelapudhur  Block  11  ,  4.Kurumalai  (R.V)  And  (P) Ketchilapuram  Melapudhur  Block  12  ,  5.Kurumalai  (R.V)  And  (P) Ketchilapuram  Block  13  ,  6.Kurumalai  (R.V)  And  (P)  Melaparapatti  Block 14  ,  7.Kurumalai  (R.V)  And  (P)  Keelaparaipatti  Block  15  ,  999.OVERSEAS ELECTORS",All  Voters,775,All India Anna Dravida Munnetra Kazhagam,270,229,41,Dravida Munnetra Kazhagam,2,1,4,3,6,8,17,8,17,5,12,17,17,12,8,12,7,8,17,12,12,5.290322580645161,19
102,276,324,51,7,1,2,3,236,0,7,0,0,0,0,3,2,0,2,1,0,1,916,0,5,921,0,Venkateswarapura m,"Panchayat  Union  Middle  School, Venkateswarapuram.","1.Venkateswarapuram  (R.V)  And  (P)  Kurumalai  Block  1  , 2.Venkateswarapuram  (R.V)  And  (P)  Kurumalai  (V.P.Singh  Nagar)  Block  2
,  3.Venkateswarapuram  (R.V)  And  (P)  Kurumalai  (Arunthathiyer  Colony) Block  3  ,  4.Venkateswarapuram  (R.V)  And  (P)  Venkateswarapuram  Block 4  ,  5.Venkateswarapuram  (R.V)  And  (P)  Venkateswarapuram  (North
Street)  Block  5  ,  6.Venkateswarapuram  (R.V)  And  (P)  Venkateswarapuram Colony  Block  6  ,  7.Venkateswarapuram  (R.V)  And  (P) K.Sundaraeshwarapuram  Block  7  ,  8.Venkateswarapuram  (R.V)  And  (P)
Kammapatti  Block  8  ,  999.OVERSEAS  ELECTORS",All  Voters,916,Dravida Munnetra Kazhagam,324,276,48,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,5,12,9,7,15,5,15,15,15,15,7,9,15,9,12,15,12,5.240174672489083,16
103,471,113,23,1,0,0,1,112,1,0,0,0,0,0,1,7,6,6,1,0,0,743,0,1,744,0,Villiseri,"Panchayat  Union  Primary  School,  North Building  ,  Villiseri-1.","1.Villichery  (R.V)  And  (P)  Perumal  Kovil  Street  Block  1  ,  2.Villichery(R.V) And  (P)  Muthalammankovil  Street  Block2  ,  3.Villichery  (R.V)  And  (P) PathirakaliammankovilStreetBlock2  ,  999.OVERSEAS  ELECTORS",All  Voters,743,All India Anna Dravida Munnetra Kazhagam,471,113,358,Dravida Munnetra Kazhagam,2,1,4,3,8,13,13,8,8,13,13,13,13,13,8,5,6,6,8,13,13,48.18304172274562,21
104,410,58,3,0,0,0,0,61,0,1,0,0,0,0,0,2,1,13,0,0,3,552,0,1,553,0,Villiseri,"Panchayat  Union  Primary  School,  Middle Building,  Villiseri-1.","1.Villichery  (R.V)  And  (P)  EX,VM,OTH,STREETBlock3  ,  2.Villichery  (R.V) And  (P)  Eaststreet  Block4  ,  3.Villichery(R.V)  And  (P) PalpannaiStreetBlock4  ,  4.Villichery  (R.V)  And  (P)  East  Pudhu  Street Block4  ,  999.OVERSEAS  ELECTORS",All  Voters,552,All India Anna Dravida Munnetra Kazhagam,410,61,349,Tamilaga Vettri Kazhagam,3,1,5,2,10,10,10,10,10,8,10,10,10,10,10,7,8,4,10,10,5,63.22463768115942,20
105,276,324,47,0,2,3,0,201,0,10,0,0,0,1,0,1,1,10,1,0,1,878,0,2,880,0,Villiseri,"Panchayat  Union  Primary  School,  South Building  ,
Villiseri-1.","1.Villichery  (R.V)  And  (P)  R.C.  Street  Block  5  ,  2.Villichery  (R.V)  And  (P) East  Colony  Block  5  ,  3.Villichery  (R.V)  And  (P)  Middle  Colony  Block  5  , 4.Villichery  (R.V)  And  (P)  West  Colony  Block  5  ,  5.Villichery  (R.V)  And  (P) Meithalaivanpatti  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,878,Dravida Munnetra Kazhagam,324,276,48,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,14,8,7,14,14,5,14,14,14,9,14,9,9,5,9,14,9,5.466970387243736,25
